Place,CountryState,Popularity,Latitude,Longitude
Kuakata Sea Beach,Bangladesh,Tier V,21.80532864,90.18054121
Sixty Dome Mosque,Bangladesh,Tier IV,22.67450457,89.74182557
Buxa Tiger Reserve,West Bengal(India),Tier V,26.61714758,89.5284661
CoochBehar Rajbari Palace,West Bengal(India),Tier IV,26.32703025,89.43870095
Cooch Behar Rajbari Park,Tripura(India),Tier V,26.32809792,89.43866343
Paro Taktsang,Bhutan,Tier V,27.48880699,89.35873842
Behular Bashor Ghor - Gokul Medh,Bangladesh,Tier V,24.93623006,89.33665207
Jaldapara National Park,West Bengal(India),Tier V,26.69055416,89.28054715
Tajhat Palace,Bangladesh,Tier V,25.7252828,89.27989732
Shilaidaha Rabindra Kuthibari,Bangladesh,Tier V,23.91991533,89.22006412
Mausoleum of Lalon Shah,Bangladesh,Tier V,23.89578209,89.15212133
Sundarbans,Bangladesh,Tier V,22.17248656,89.06104351
Sompur Mahavihara,Bangladesh,Tier V,25.03108128,88.97694167
Sundarban National Park (West Bengal),West Bengal(India),Tier IV,21.88437519,88.88528786
Teesta River,Sikkim(India),Tier IV,26.41923452,88.84615214
Nathula,Sikkim(India),Tier V,27.386504,88.83084575
Gorumara National Park,West Bengal(India),Tier IV,26.75630982,88.79750217
Zero Point,Sikkim(India),Tier IV,27.93137055,88.73409164
Gurudongmar Lake,Sikkim(India),Tier V,28.02699833,88.71042254
Sikkim Himalayan Zoological Park,Sikkim(India),Tier IV,27.35050906,88.62698599
Bakthang Waterfall,Sikkim(India),Tier V,27.35781543,88.62354879
Ganesh Tok,Sikkim(India),Tier V,27.34150536,88.62128482
Flower Exhibition Centre - Ridge Park.,Sikkim(India),Tier IV,27.33166242,88.61629268
Gangtok Ropeway,Sikkim(India),Tier IV,27.31784166,88.6066255
Do Drul Chorten,Sikkim(India),Tier V,27.31283327,88.60485526
Ban Jhakri Falls Park,Sikkim(India),Tier III,27.35081309,88.60320397
"MAYFAIR Spa Resort & Casino, Gangtok",Sikkim(India),Tier V,27.29612768,88.58871223
Eco Park,West Bengal(India),Priority,22.6004126,88.47061281
Banglabandha Zero Point,Bangladesh,Tier V,26.63312528,88.41460985
Vivekananda Yuba Bharati Krirangan (VYBK),West Bengal(India),Tier III,22.56901111,88.40904291
Science City,West Bengal(India),Tier I,22.54013157,88.39606226
Quest Mall,West Bengal(India),Tier I,22.53895231,88.36574712
Jorasanko Thakurbari,West Bengal(India),Tier III,22.58489241,88.35922451
Buddha Park,Sikkim(India),Tier IV,27.31307184,88.35590302
Lamahatta,West Bengal(India),Tier IV,27.05349274,88.35161148
Park St,West Bengal(India),Tier V,22.55410559,88.35134979
Indian Museum,West Bengal(India),Tier I,22.55782669,88.35109974
Shaheed Minar,Manipur(India),Tier V,22.56287688,88.34918817
