Name,Category,Popularity,Latitude,Longitude
VGP Universal Kingdom,,Tier II,12.91421061,80.25056176
Museum of Natural History Vienna,,Tier II,48.20520216,16.35984883
Dazaifu-tenmangu Shrine,,Tier II,33.521359,130.5348216
Mahendra Chaudhary Zoological Park,,Tier II,30.74704919,76.78290968
Titanic Belfast,,Tier II,54.60810444,-5.909934127
Nijō Castle,,Tier II,35.01403383,135.7484149
"Rock Beach
",,Tier II,11.93388496,79.83617958
Rock Beach,,Tier II,11.93389838,79.83618847
Topography of Terror,,Tier II,52.50674041,13.38374209
Shirakawa-go,,Tier II,36.25780407,136.9061899
Jalavihar Water Park,,Tier II,17.43293051,78.46474832
Elephanta Caves,,Tier II,18.96335743,72.9314981
Baga Beach,,Tier II,15.55684231,73.7512558
Osh Bazaar,,Tier II,42.87495122,74.57025273
James Prinsep Monument,,Tier II,22.55528871,88.3311393
Kumbhalgarh Fort,,Tier II,25.15297856,73.58698081
Candolim Beach,,Tier II,15.51799545,73.7626181
Teide National Park,,Tier II,28.2538881,-16.61823601
Tsutenkaku,,Tier II,34.65249835,135.5063019
Basílica de Santa Maria del Mar,,Tier II,41.38387867,2.182066828
Alba-Carolina Citadel,,Tier II,46.06852217,23.57164469
BMW Welt,,Tier II,48.17719329,11.55629988
The Roman Baths,,Tier II,51.38108527,-2.359614671
Green Bazaar,,Tier II,43.26421432,76.9547506
Umeda Sky Building,,Tier II,34.70535343,135.4895635
Новосибирский зоопарк имени Р.А. Шило,,Tier II,55.05650329,82.88907153
Alleppey Beach,,Tier II,9.492862747,76.31761206
Swarovski Kristallwelten,,Tier II,47.29380685,11.60081292
Hallstatt Village,,Tier II,47.29380952,11.60080722
Nami Island,,Tier II,37.78993232,127.5258104
Swarovski Kristallwelten,,Tier II,47.29382576,11.60081131
Aquaventure World,,Tier II,25.13101596,55.11444941
The Art Institute of Chicago,,Tier II,41.87960144,-87.62235731
Frauenkirche Dresden,,Tier II,51.05187199,13.74151704
Hohenschwangau Castle,,Tier II,47.55567506,10.73638543
Rushikonda Beach,,Tier II,17.782647,83.38511615
Museu Nacional d'Art de Catalunya,,Tier II,41.36845834,2.153563703
Pont du Gard,,Tier II,43.94756594,4.534946527
Notre-Dame Basilica of Montreal,,Tier II,45.50456925,-73.55612252
Notre-Dame Basilica of Montreal,,Tier II,45.5045619,-73.55619995
